season,round,driver,driver_points,driver_wins,driver_standings_pos
2000,1,michael_schumacher,0.0,0.0,0.0
2000,1,barrichello,0.0,0.0,0.0
2000,1,ralf_schumacher,0.0,0.0,0.0
2000,1,villeneuve,0.0,0.0,0.0
2000,1,fisichella,0.0,0.0,0.0
2000,1,zonta,0.0,0.0,0.0
2000,1,wurz,0.0,0.0,0.0
2000,1,gene,0.0,0.0,0.0
2000,1,heidfeld,0.0,0.0,0.0
2000,2,michael_schumacher,10.0,1.0,1.0
2000,2,fisichella,2.0,0.0,5.0
2000,2,barrichello,6.0,0.0,2.0
2000,2,ralf_schumacher,4.0,0.0,3.0
2000,2,frentzen,0.0,0.0,0.0
2000,2,trulli,0.0,0.0,0.0
2000,2,villeneuve,3.0,0.0,4.0
2000,2,zonta,1.0,0.0,6.0
2000,2,button,0.0,0.0,0.0
2000,2,verstappen,0.0,0.0,0.0
2000,2,wurz,0.0,0.0,7.0
2000,2,rosa,0.0,0.0,0.0
2000,2,gene,0.0,0.0,8.0
2000,2,heidfeld,0.0,0.0,9.0
2000,2,mazzacane,0.0,0.0,0.0
2000,3,michael_schumacher,20.0,2.0,1.0
2000,3,barrichello,6.0,0.0,3.0
2000,3,fisichella,8.0,0.0,2.0
2000,3,hakkinen,0.0,0.0,0.0
2000,3,ralf_schumacher,6.0,0.0,4.0
2000,3,villeneuve,3.0,0.0,7.0
2000,3,coulthard,0.0,0.0,0.0
2000,3,frentzen,4.0,0.0,5.0
2000,3,trulli,3.0,0.0,6.0
2000,3,zonta,1.0,0.0,8.0
2000,3,button,1.0,0.0,9.0
2000,3,salo,0.0,0.0,0.0
2000,3,wurz,0.0,0.0,11.0
2000,3,verstappen,0.0,0.0,10.0
2000,3,irvine,0.0,0.0,0.0
2000,3,rosa,0.0,0.0,12.0
2000,3,diniz,0.0,0.0,0.0
2000,3,gene,0.0,0.0,13.0
2000,3,heidfeld,0.0,0.0,14.0
2000,3,mazzacane,0.0,0.0,15.0
2000,3,herbert,0.0,0.0,0.0
2000,4,michael_schumacher,30.0,3.0,1.0
2000,4,coulthard,4.0,0.0,7.0
2000,4,hakkinen,6.0,0.0,4.0
2000,4,barrichello,9.0,0.0,2.0
2000,4,ralf_schumacher,6.0,0.0,5.0
2000,4,fisichella,8.0,0.0,3.0
2000,4,villeneuve,5.0,0.0,6.0
2000,4,frentzen,4.0,0.0,8.0
2000,4,trulli,3.0,0.0,9.0
2000,4,button,1.0,0.0,11.0
2000,4,salo,1.0,0.0,12.0
2000,4,zonta,1.0,0.0,10.0
2000,4,wurz,0.0,0.0,13.0
2000,4,irvine,0.0,0.0,15.0
2000,4,verstappen,0.0,0.0,14.0
2000,4,diniz,0.0,0.0,17.0
2000,4,gene,0.0,0.0,18.0
2000,4,rosa,0.0,0.0,16.0
2000,4,heidfeld,0.0,0.0,19.0
2000,4,herbert,0.0,0.0,21.0
2000,4,mazzacane,0.0,0.0,20.0
2000,4,alesi,0.0,0.0,0.0
2000,5,michael_schumacher,34.0,3.0,1.0
2000,5,hakkinen,12.0,0.0,3.0
2000,5,coulthard,14.0,1.0,2.0
2000,5,barrichello,9.0,0.0,4.0
2000,5,ralf_schumacher,9.0,0.0,5.0
2000,5,fisichella,8.0,0.0,6.0
2000,5,frentzen,4.0,0.0,8.0
2000,5,villeneuve,5.0,0.0,7.0
2000,5,trulli,4.0,0.0,9.0
2000,5,button,3.0,0.0,10.0
2000,5,salo,1.0,0.0,11.0
2000,5,zonta,1.0,0.0,12.0
2000,5,wurz,0.0,0.0,13.0
2000,5,irvine,0.0,0.0,14.0
2000,5,verstappen,0.0,0.0,15.0
2000,5,diniz,0.0,0.0,16.0
2000,5,gene,0.0,0.0,17.0
2000,5,rosa,0.0,0.0,18.0
2000,5,heidfeld,0.0,0.0,19.0
2000,5,herbert,0.0,0.0,20.0
2000,5,mazzacane,0.0,0.0,21.0
2000,5,alesi,0.0,0.0,22.0
2000,6,michael_schumacher,36.0,3.0,1.0
2000,6,hakkinen,22.0,1.0,2.0
2000,6,coulthard,20.0,1.0,3.0
2000,6,barrichello,13.0,0.0,4.0
2000,6,ralf_schumacher,12.0,0.0,5.0
2000,6,fisichella,8.0,0.0,6.0
2000,6,frentzen,5.0,0.0,7.0
2000,6,villeneuve,5.0,0.0,8.0
2000,6,trulli,4.0,0.0,9.0
2000,6,button,3.0,0.0,10.0
2000,6,salo,1.0,0.0,11.0
2000,6,zonta,1.0,0.0,12.0
2000,6,rosa,0.0,0.0,18.0
2000,6,diniz,0.0,0.0,16.0
2000,6,wurz,0.0,0.0,13.0
2000,6,irvine,0.0,0.0,14.0
2000,6,verstappen,0.0,0.0,15.0
2000,6,mazzacane,0.0,0.0,21.0
2000,6,gene,0.0,0.0,17.0
2000,6,alesi,0.0,0.0,22.0
2000,6,heidfeld,0.0,0.0,19.0
2000,6,herbert,0.0,0.0,20.0
2000,7,michael_schumacher,46.0,4.0,1.0
2000,7,coulthard,24.0,1.0,3.0
2000,7,hakkinen,28.0,1.0,2.0
2000,7,barrichello,16.0,0.0,4.0
2000,7,fisichella,10.0,0.0,6.0
2000,7,ralf_schumacher,12.0,0.0,5.0
2000,7,frentzen,5.0,0.0,7.0
2000,7,villeneuve,5.0,0.0,8.0
2000,7,trulli,4.0,0.0,9.0
2000,7,irvine,0.0,0.0,16.0
2000,7,salo,1.0,0.0,11.0
2000,7,button,3.0,0.0,10.0
2000,7,zonta,1.0,0.0,12.0
2000,7,rosa,1.0,0.0,13.0
2000,7,diniz,0.0,0.0,14.0
2000,7,wurz,0.0,0.0,15.0
2000,7,verstappen,0.0,0.0,17.0
2000,7,heidfeld,0.0,0.0,21.0
2000,7,mazzacane,0.0,0.0,18.0
2000,7,gene,0.0,0.0,19.0
2000,7,herbert,0.0,0.0,22.0
2000,7,alesi,0.0,0.0,20.0
2000,8,michael_schumacher,46.0,4.0,1.0
2000,8,coulthard,34.0,2.0,2.0
2000,8,hakkinen,29.0,1.0,3.0
2000,8,barrichello,22.0,0.0,4.0
2000,8,fisichella,14.0,0.0,5.0
2000,8,ralf_schumacher,12.0,0.0,6.0
2000,8,frentzen,5.0,0.0,7.0
2000,8,villeneuve,5.0,0.0,8.0
2000,8,trulli,4.0,0.0,9.0
2000,8,irvine,3.0,0.0,10.0
2000,8,salo,3.0,0.0,11.0
2000,8,button,3.0,0.0,12.0
2000,8,verstappen,0.0,0.0,17.0
2000,8,zonta,1.0,0.0,13.0
2000,8,rosa,1.0,0.0,14.0
